id,reputation,up_votes,down_votes,views,no_of_questions_answered_by_user,avg_ans_score,no_of_questions_Asked_by_user,avg_que_score,EFF_CLASS,EFF_CLASS_NUM
1533838,88,2,0,31,1,0,12,0,YES,1
1098572,1538,82,0,28,1,140,1,3,YES,1
1788446,155,69,0,23,9,0.666666667,2,2.5,NO,-1
4766261,1091,355,390,166,48,0,1,0,NO,-1
4809223,68,2,0,19,1,0,4,3.25,YES,1
5008345,10,0,0,20,2,0,8,-0.25,YES,1
8526928,273,5,1,16,1,22,1,2,YES,1
5229515,1940,45,0,103,19,6.736842105,16,3.375,NO,-1
4397319,34,3,0,18,1,0,6,0,YES,1
6222078,141,165,1,69,4,0.25,13,2.230769231,YES,1
1923515,2937,559,39,494,34,6.882352941,4,5.5,YES,1
3032574,110,3,0,19,10,0.6,1,0,YES,1
1846419,85,8,0,17,1,0,15,0.733333333,YES,1
1059529,1061,13,1,144,36,0,1,0,NO,-1
598662,1611,60,0,108,9,0.333333333,16,17.75,NO,-1
3569212,157,113,5,19,7,0,1,0,NO,-1
2117902,3624,445,1940,512,187,0.946524064,4,0.5,YES,1
288170,1622,313,3,153,41,1.804878049,9,2,YES,1
2098017,368,255,1,20,5,2.2,7,3.571428571,NO,-1
3873140,62,2,0,56,1,0,6,0,YES,1
2770118,193,45,2,47,8,0.25,16,0.4375,YES,1
6115177,76,10,0,34,5,0,1,0,NO,-1
340276,528,6,0,14,1,39,2,1,YES,1
505917,421,20,0,31,1,0,1,0,NO,-1
1832848,19,1,0,16,1,0,7,-0.428571429,YES,1
6405521,57,7,0,14,6,0.166666667,4,1.25,YES,1
3204732,218,0,0,43,1,0,1,0,YES,1
5773951,393,231,3,17,21,0,1,0,NO,-1
2433811,18,2,0,20,1,0,3,0,YES,1
966226,76,28,0,36,4,0.75,25,0,YES,1
808655,995,1125,2,165,16,1.1875,115,0.773913043,NO,-1
1653971,110,48,0,65,1,2,3,5.666666667,YES,1
1882752,172,17,0,42,7,0,28,0.857142857,NO,-1
2099348,704,315,9,69,29,0,1,0,NO,-1
4365064,75,6,0,16,1,0,19,0,YES,1
3001580,101,241,0,44,11,0.272727273,14,0.714285714,YES,1
531194,1049,13,4,122,24,2.5,11,4.090909091,NO,-1
6612677,66,50,0,24,12,0.166666667,9,0.555555556,YES,1
5479224,573,26,3,44,43,0.558139535,3,0.333333333,YES,1
1857087,343,4,0,25,1,0,8,0,YES,1
2606013,68956,3355,982,7128,1305,4.049042146,2,40.5,YES,1
1042763,135,19,0,16,3,2.666666667,4,2.5,NO,-1
3950762,269,0,0,22,3,0,1,0,NO,-1
5665568,53,4,0,140,1,0,11,0.454545455,YES,1
11100,1041,12,2,222,6,0.166666667,100,1.6,NO,-1
2418655,913,149,1,78,33,1.96969697,11,0.363636364,NO,-1
2127089,128,133,0,27,1,1,2,11,YES,1
1018129,200,1,0,60,1,0,22,0,YES,1
624944,126,25,0,17,2,0,1,0,NO,-1
3261814,143,138,2,30,6,0,13,0.307692308,YES,1
3398612,885,235,2,76,25,2.24,1,3,YES,1
695472,373,72,0,35,1,0,20,2.4,MODERATE,0
110264,7837,16,2,1469,22,26.227272727,7,29.857142857,MODERATE,0
1978704,175,100,1,146,3,0,23,1.043478261,YES,1
1455116,839,25,0,230,13,0.461538462,68,1.485294118,YES,1
8848856,82,13,0,14,2,0,10,0.9,YES,1
1925,7126,1269,168,829,126,3.198412698,57,7.894736842,NO,-1
267326,199,9,0,17,7,0,1,0,NO,-1
3890381,15,0,0,41,1,0,4,0,YES,1
9673470,39,0,0,21,1,0,10,0,YES,1
1287075,116,10,0,58,1,0,10,2,YES,1
8385466,263,46,1,23,27,0.592592593,1,0,NO,-1
5008816,318,28,0,35,4,0.25,24,1.333333333,NO,-1
3349931,450,238,1,93,18,0.666666667,35,0.457142857,YES,1
3024598,17,2,0,22,2,0,11,-0.545454545,YES,1
1727589,2884,273,46,183,100,1.4,39,1.794871795,NO,-1
430867,104,3,0,18,1,0,6,3.166666667,YES,1
1187935,137,37,0,45,2,2.5,3,4,YES,1
1251127,4461,381,7,219,105,3.038095238,6,1.666666667,NO,-1
2807104,171,41,1,27,3,3.333333333,7,0.714285714,NO,-1
3116672,41,8,0,42,2,0,18,0,YES,1
594430,880,57,3,44,9,7,1,1,YES,1
1748182,40,0,0,27,1,0,12,0.5,YES,1
2672392,2811,354,63,125,57,0,1,0,NO,-1
4136107,136,28,0,59,1,1,3,8,YES,1
257024,1020,64,1,16,13,6.538461538,2,1,YES,1
799552,95,19,0,86,2,-0.5,20,0.5,YES,1
1518930,121,6,0,83,1,0,2,0,NO,-1
49102,1600,14,0,176,12,5.416666667,3,59,YES,1
977593,2620,500,66,669,101,1.227722772,12,6.833333333,YES,1
393194,28419,367,22,2281,1534,1.061929596,14,1.714285714,YES,1
300840,61,0,0,39,1,0,1,0,NO,-1
795585,35,29,0,39,1,0,8,0.375,YES,1
1063472,145,29,0,49,3,1,10,0.4,YES,1
2847167,138,5,0,27,1,0,20,0,YES,1
6688965,19,0,0,19,1,0,3,0,YES,1
1709272,24,2,0,15,1,0,7,0.428571429,YES,1
3433716,788,120,16,94,15,0.4,34,3,YES,1
1775605,37,14,0,14,3,0,5,0.8,NO,-1
2397236,59,3,0,19,1,0,9,0.777777778,YES,1
4574020,65,2,0,36,1,0,12,0,NO,-1
4542718,117,14,0,21,1,0,6,0,YES,1
1888585,968,628,6,210,15,4.6,24,1.583333333,YES,1
4925203,722,21,0,24,7,0,1,0,NO,-1
310570,77,0,0,15,1,3,5,1.6,YES,1
1401312,38,0,0,22,1,0,19,0,YES,1
3100233,68,12,0,15,5,0.6,14,0,YES,1
1919881,61,0,0,20,1,1,6,0,NO,-1
2243612,123,6,0,52,9,0.666666667,7,1.714285714,YES,1
4596229,73,17,0,40,2,0.5,12,0.75,MODERATE,0
327592,520,37,0,65,6,2.166666667,8,6.125,YES,1
2775388,36,2,0,14,6,0.166666667,1,2,NO,-1
580556,30058,1072,10,2200,259,10.451737452,6,3.333333333,YES,1
2500376,127,168,0,71,5,0.4,3,1.666666667,YES,1
60664,20975,677,51,1339,299,5.906354515,19,2.736842105,NO,-1
3306656,3606,31,6,86,57,0,1,0,NO,-1
718789,151,0,0,90,1,0,14,0,YES,1
3277205,89,60,0,20,4,0,1,0,NO,-1
4914961,121,8,0,23,4,0.75,17,0.705882353,MODERATE,0
3554268,162,20,0,107,1,0,54,0,YES,1
2841098,98,93,0,59,1,0,8,0,YES,1
1848589,158,24,0,19,3,4.333333333,2,2.5,YES,1
2693669,2,0,0,18,1,0,1,0,NO,-1
532073,163,23,0,60,5,0.4,17,2.647058824,NO,-1
1228288,263,81,3,115,4,1,38,2.763157895,YES,1
354260,236,0,0,16,1,0,3,0,YES,1
4622157,51,1,0,21,1,0,10,0,YES,1
7227102,14,0,0,14,1,0,10,0,YES,1
2573566,2734,0,1,85,2,125,1,0,NO,-1
2085903,103,15,0,15,7,0.571428571,3,-1.666666667,YES,1
2036246,96,2,0,32,1,3,12,0.666666667,YES,1
544067,70,1,0,14,1,1,7,1.428571429,YES,1
1047343,353,42,0,33,5,2,16,1.4375,YES,1
664285,3017,128,3,314,162,0,1,0,NO,-1
1347323,336,49,0,18,1,0,8,5.125,YES,1
1895522,36,1,0,31,1,0,4,0,YES,1
4289853,53,3,0,31,11,0,1,0,NO,-1
1979824,98,50,0,16,1,2,4,2.5,NO,-1
2015022,151,0,0,51,2,0,13,1.846153846,YES,1
1171811,904,45,0,154,24,1.333333333,56,0.982142857,YES,1
1181921,712,11,0,141,21,3.095238095,2,-0.5,YES,1
2488616,155,126,1,26,2,5.5,5,1.4,NO,-1
1536843,871,521,4,104,15,4.133333333,2,5,YES,1
3581554,154,13,0,39,9,0.333333333,6,2.166666667,NO,-1
4093106,369,20,1,19,7,0,1,0,NO,-1
1588471,122,41,0,24,3,1.666666667,6,1.333333333,YES,1
2458805,54,9,0,14,1,1,4,1.75,NO,-1
82124,8083,751,54,634,132,4.590909091,18,12.555555556,NO,-1
1078601,8523,96,12,2159,224,2.816964286,19,4.368421053,YES,1
445868,356,76,0,133,6,0,1,0,NO,-1
286455,854,212,4,86,46,0.804347826,11,1.454545455,YES,1
